totalWordsCount,semanticobjscore,semanticsubjscore,CC,CD,DT,EX,FW,INs,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TOs,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,baseform,Quotes,questionmarks,exclamationmarks,fullstops,commas,semicolon,colon,ellipsis,pronouns1st,pronouns2nd,pronouns3rd,compsupadjadv,past,imperative,present3rd,present1st2nd,sentence1st,sentencelast,txtcomplexity,Label
614,30,10,21,68,1,13,90,38,4,0,0,3,147,5,0,28,0,0,8,13,29,1,0,4,0,10,0,1,42,9,17,4,8,1,2,0,0,0,18,3,0,0,28,18,1,1,0,0,0,19,5,42,1,8,4,1,1,20,1
143,16,1,2,20,0,0,13,12,0,1,0,4,41,0,0,10,0,0,0,0,7,0,0,1,0,6,0,3,5,2,3,1,1,0,0,0,0,0,3,0,0,0,8,4,0,0,0,0,0,0,1,5,3,1,1,1,1,14,1
246,12,2,3,20,0,4,21,11,2,2,0,0,58,1,0,7,0,4,11,6,12,1,0,0,0,8,0,2,13,8,6,3,9,2,1,0,0,0,5,1,0,0,10,13,0,0,0,0,0,14,5,13,2,9,3,1,1,27,1
293,7,6,8,29,0,24,27,18,0,0,0,4,63,0,0,20,0,1,3,4,6,0,0,2,0,12,0,1,5,4,9,6,3,0,0,0,0,0,13,0,0,0,15,10,0,0,0,5,0,0,0,5,1,3,6,1,1,26,1
1367,67,28,26,111,2,20,140,72,2,9,0,17,206,9,0,70,1,15,69,29,77,3,0,5,1,31,0,12,49,34,28,40,40,3,14,0,8,0,43,0,1,0,56,78,2,2,0,17,9,38,14,49,12,40,40,1,1,34,1
845,46,24,47,89,0,5,77,60,0,3,0,3,186,6,0,60,1,0,21,18,27,2,1,10,8,12,0,5,51,26,7,15,10,1,7,1,0,0,31,10,1,0,47,35,0,4,0,13,0,22,6,51,5,10,15,1,1,17,1
112,6,1,7,10,0,0,17,9,0,1,0,2,33,2,0,9,0,0,1,1,2,0,0,0,0,0,0,0,6,1,1,1,0,0,1,0,0,0,4,0,0,0,7,2,0,0,0,0,0,2,1,6,0,0,1,1,1,12,1
204,12,1,18,20,0,0,18,14,2,0,0,3,49,3,0,8,0,5,3,5,6,1,0,0,0,5,0,1,5,4,7,0,7,2,0,0,1,0,3,0,0,0,6,4,0,0,0,0,0,8,3,5,1,7,0,1,1,25,1
177,6,1,2,11,1,3,18,11,3,1,0,4,41,0,0,7,0,2,6,3,9,0,0,3,0,4,0,0,9,3,7,0,7,0,0,0,0,0,4,0,1,0,9,7,0,0,0,1,1,3,4,9,0,7,0,1,1,16,1
253,18,6,10,23,0,0,31,22,0,0,0,1,68,7,0,19,0,0,1,3,1,0,0,1,1,3,0,1,17,7,10,6,3,1,2,0,1,0,5,2,0,0,13,6,0,1,0,0,0,4,0,17,1,3,6,1,1,16,1
1122,63,29,14,96,4,10,127,52,4,2,0,13,227,7,0,54,1,0,51,25,55,0,1,7,1,27,0,8,33,23,31,20,48,4,9,0,5,0,31,0,1,0,45,75,0,3,0,5,14,41,7,33,8,48,20,1,1,22,1
653,30,9,16,80,2,6,64,31,0,1,0,1,159,0,0,37,0,0,20,9,31,2,0,4,4,22,0,0,60,16,9,7,2,2,0,0,2,0,18,11,0,0,37,24,0,4,0,8,0,11,3,60,0,2,7,1,1,16,1
985,62,17,57,110,1,1,116,46,6,3,0,5,229,2,0,53,0,0,33,14,37,0,0,4,9,20,0,2,68,19,16,14,4,8,4,0,6,0,23,13,0,0,49,35,0,3,0,3,6,22,9,68,2,4,14,1,1,18,1
513,31,13,27,43,0,8,52,28,0,1,0,6,107,4,0,30,2,2,16,2,28,1,0,3,0,13,0,1,31,5,8,9,3,2,1,0,3,0,16,0,0,0,26,29,0,4,0,3,4,5,2,31,1,3,9,0,1,19,1
853,61,19,33,93,1,14,96,74,2,5,0,3,185,2,0,57,0,0,15,12,17,0,0,12,0,25,0,13,52,20,13,8,3,1,7,0,0,0,19,2,1,0,35,37,0,0,0,0,2,16,7,52,13,3,8,1,1,22,1
552,31,4,41,50,0,4,68,55,2,0,0,1,149,1,0,40,0,0,5,3,18,0,0,3,0,3,0,1,27,10,6,4,3,1,4,0,1,0,9,9,0,0,21,32,1,3,0,0,0,8,2,27,1,3,4,1,1,24,1
404,27,5,5,35,2,3,49,20,1,2,0,5,88,3,0,15,0,0,17,9,19,0,0,0,5,13,0,3,21,11,11,7,13,2,2,0,3,0,13,7,0,0,17,9,0,0,0,2,0,21,3,21,3,13,7,1,1,21,1
65,3,0,3,3,0,4,8,4,0,0,0,0,17,0,0,5,0,0,2,0,0,1,0,0,0,3,0,0,4,0,2,1,0,1,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,2,1,4,0,0,1,1,1,13,1
395,30,6,24,46,0,5,53,31,1,1,0,0,81,0,0,13,0,0,6,9,16,2,0,3,0,19,0,2,24,16,1,0,1,0,3,0,1,0,6,5,0,0,18,16,0,0,0,0,0,14,4,24,2,1,0,1,1,19,1
116,3,0,0,10,0,0,7,8,0,0,0,1,44,0,0,6,0,0,4,1,4,0,0,1,2,4,0,0,5,1,2,1,4,0,1,0,0,0,3,8,0,0,10,3,0,0,0,3,0,1,0,5,0,4,1,1,1,9,1
573,37,4,58,57,0,4,77,38,0,2,0,1,117,13,0,57,0,0,4,9,17,0,0,1,3,14,0,2,19,17,11,5,7,0,1,0,0,0,10,6,0,0,27,17,0,1,0,3,0,10,2,19,2,7,5,0,1,19,1
272,11,2,27,15,0,10,19,16,0,1,0,5,69,4,0,26,0,0,0,0,4,0,0,2,0,8,0,2,0,1,5,5,1,0,0,0,0,0,7,2,0,1,10,16,0,16,0,0,0,0,1,0,2,1,5,1,1,20,1
227,20,2,0,20,0,7,25,13,1,0,0,2,59,2,0,5,0,0,12,2,10,1,0,2,2,2,0,0,17,4,5,4,9,2,6,0,2,0,3,5,0,0,11,4,0,0,0,0,0,12,2,17,0,9,4,1,1,17,1
575,29,7,12,57,0,2,57,33,1,0,0,9,132,0,0,42,1,0,11,8,35,1,1,3,0,21,0,1,13,7,21,11,25,5,1,0,1,0,20,1,0,0,24,23,0,0,0,0,0,16,3,13,1,25,11,1,1,22,1
382,16,4,3,41,2,13,47,22,0,0,0,4,107,3,0,17,0,0,5,7,16,0,0,1,0,9,1,2,24,11,7,0,4,1,1,0,2,0,7,8,0,0,14,17,0,1,0,0,0,10,0,24,2,4,0,1,1,23,1
294,17,3,7,32,0,9,23,19,0,1,0,1,84,2,0,12,0,0,11,4,11,0,0,0,2,6,0,2,14,7,4,2,13,0,3,0,2,0,5,10,0,0,26,10,0,3,0,0,2,12,1,14,2,13,2,1,1,10,1
894,50,13,40,89,0,19,114,73,4,0,0,3,200,0,0,38,0,9,15,17,34,1,1,8,0,20,0,5,46,28,20,4,1,1,5,0,1,0,26,0,0,0,28,46,0,6,0,0,0,24,6,46,5,1,4,1,1,29,1
176,6,7,6,11,1,0,25,9,1,1,0,0,51,2,0,8,0,0,3,7,6,0,0,0,2,3,0,1,5,3,5,5,5,0,1,0,1,0,3,5,0,1,11,4,0,3,0,0,0,9,2,5,1,5,5,1,1,12,1
182,10,6,6,16,0,3,17,17,1,0,0,1,57,0,0,9,0,0,3,3,4,1,1,0,1,4,0,0,6,4,5,3,5,0,1,0,1,0,4,5,0,0,8,4,0,1,0,0,0,5,3,6,0,5,3,1,1,18,1
93,4,2,1,7,0,0,10,5,0,0,0,2,34,1,0,2,0,0,4,0,3,0,0,0,1,1,0,0,6,2,4,1,2,0,1,0,0,0,2,3,0,0,6,1,0,0,0,0,0,3,0,6,0,2,1,1,1,11,1
269,18,3,11,10,0,15,29,23,1,0,0,1,78,1,0,9,0,0,7,6,6,0,0,1,2,5,0,0,16,8,8,0,5,0,3,0,1,0,2,12,0,0,17,12,0,3,0,0,0,10,1,16,0,5,0,1,1,14,1
71,6,3,2,6,0,2,7,5,0,0,0,1,31,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,3,1,3,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,1,1,1,1,11,1
585,23,4,20,55,0,2,79,46,0,3,0,4,122,12,0,61,0,0,7,7,27,2,0,2,0,10,0,1,30,19,18,3,13,0,1,0,3,0,13,0,0,0,27,13,2,0,0,0,0,11,5,30,1,13,3,1,1,20,1
186,4,4,2,16,0,0,24,10,0,0,0,0,48,5,0,8,0,0,8,1,5,0,0,2,1,4,0,0,13,7,6,1,3,0,1,0,0,0,5,4,0,0,10,9,0,3,0,0,0,8,0,13,0,3,1,1,1,15,1
234,11,4,5,23,1,1,25,18,0,0,0,7,61,0,0,7,0,0,13,4,7,0,0,1,3,4,0,1,15,3,4,0,5,1,1,0,1,0,6,7,0,0,19,4,0,2,0,4,0,7,0,15,1,5,0,1,1,11,1
683,36,13,65,64,0,5,76,54,1,0,0,0,141,5,0,60,1,2,12,14,16,0,0,1,0,7,0,2,51,8,8,8,9,0,4,0,0,0,18,0,0,0,30,31,0,1,0,4,0,18,1,51,2,9,8,1,1,28,1
106,6,3,0,13,0,0,14,8,0,0,0,0,41,0,0,5,0,0,0,2,3,0,0,0,0,3,0,0,0,3,0,0,5,1,0,0,0,0,3,0,0,0,3,2,0,0,0,0,0,2,0,0,0,5,0,1,1,21,1
661,30,12,15,57,1,6,75,45,1,0,0,6,172,12,0,39,1,0,15,7,23,4,0,2,4,13,0,1,38,13,21,9,12,2,2,0,2,0,18,12,0,0,44,24,0,1,0,3,0,15,5,38,1,12,9,1,1,14,1
136,18,1,10,7,0,2,12,21,0,0,0,0,47,1,0,7,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,11,7,0,13,0,0,0,1,0,1,0,2,0,1,1,9,1
246,12,1,32,6,0,12,10,28,0,1,0,0,76,0,0,34,0,0,0,0,2,0,0,0,3,0,0,0,11,2,2,4,3,0,0,0,0,0,2,0,0,0,28,13,0,4,0,0,0,0,1,11,0,3,4,1,1,5,1
411,21,5,41,31,0,7,40,52,0,1,0,3,115,2,0,10,0,0,8,10,7,0,0,1,1,5,0,1,14,2,5,7,11,0,2,0,1,0,7,4,0,0,22,12,0,0,0,0,0,15,1,14,1,11,7,1,1,14,1
917,54,11,42,77,0,29,102,71,1,3,0,0,200,14,0,49,0,0,23,10,38,0,0,5,14,16,0,3,63,18,14,12,9,1,2,0,2,0,25,16,0,0,71,33,0,5,0,6,1,19,4,63,3,9,12,1,1,13,1
307,11,3,16,24,0,3,39,27,1,0,0,7,86,2,0,18,0,6,5,5,4,2,0,2,0,6,0,1,8,5,3,0,5,1,1,0,0,0,3,0,0,1,15,9,1,0,0,0,0,8,3,8,1,5,0,1,1,17,1
1065,71,21,28,119,0,9,113,106,1,1,0,5,216,7,0,61,0,0,41,11,39,0,0,4,3,36,0,5,77,25,18,7,8,4,2,0,9,0,25,12,0,0,54,53,0,0,0,1,2,41,2,77,5,8,7,1,1,19,1
1386,70,12,92,154,4,8,154,76,6,5,0,26,315,11,0,92,0,0,22,13,44,0,1,3,6,33,0,4,67,20,31,8,12,11,0,0,6,0,39,16,0,0,66,54,0,0,0,4,3,18,12,67,4,12,8,1,1,19,1
730,39,18,18,53,1,12,79,43,3,0,0,13,157,8,0,39,0,8,26,9,28,1,1,4,0,16,0,1,40,13,17,4,25,4,6,0,4,0,17,0,0,0,34,37,0,0,0,4,1,25,5,40,1,25,4,1,1,27,1
268,15,5,1,25,0,5,29,23,0,1,0,1,75,3,0,3,0,3,9,8,15,0,0,3,0,5,0,1,17,6,5,0,5,1,1,0,0,0,5,2,0,0,11,7,0,1,0,1,0,11,1,17,1,5,0,1,1,29,1
488,31,7,9,39,0,6,52,28,2,2,0,4,130,5,0,23,0,0,16,6,29,0,0,2,10,7,0,5,16,11,6,10,16,1,2,0,1,0,8,15,3,0,36,17,0,1,0,5,0,10,4,16,5,16,10,1,1,12,1
1766,107,54,21,135,8,60,166,103,10,4,0,19,309,2,0,66,1,0,118,53,105,1,0,14,9,43,0,15,146,41,38,10,31,7,11,0,9,0,59,4,5,0,129,97,1,0,0,18,3,99,15,146,15,31,10,1,1,12,1
206,8,8,5,18,0,6,25,20,3,2,0,0,44,0,0,11,0,2,9,1,10,1,0,1,0,2,0,1,11,5,2,1,4,0,1,0,0,0,1,1,0,0,9,8,0,2,0,2,0,7,6,11,1,4,1,1,1,29,1
198,9,4,3,25,0,0,30,16,0,0,0,2,61,0,0,3,0,0,7,1,8,2,0,2,0,5,0,2,7,1,3,5,1,2,0,0,0,0,3,1,0,0,8,4,0,0,0,4,3,0,2,7,2,1,5,1,1,19,1
83,5,0,3,8,0,0,9,6,0,0,0,1,29,0,0,7,0,0,1,1,2,0,0,0,1,0,0,0,1,1,2,3,2,0,0,0,0,0,3,2,0,0,4,2,0,0,0,0,0,2,0,1,0,2,3,1,1,13,1
400,29,13,3,36,5,7,39,27,1,0,0,6,99,2,0,19,1,0,17,7,23,2,0,1,6,6,0,2,27,7,5,4,12,2,0,0,3,0,10,11,0,0,33,7,0,0,0,2,0,8,3,27,2,12,4,1,1,12,1
151,5,4,1,16,0,0,18,15,0,0,0,1,44,1,0,12,0,0,2,1,5,0,0,0,0,4,0,0,3,3,4,3,7,0,0,0,0,0,5,3,0,0,11,0,0,2,0,0,0,3,0,3,0,7,3,0,1,11,1
99,4,1,5,13,0,0,11,6,0,0,0,0,31,0,0,6,0,0,4,0,3,0,0,0,0,3,0,0,6,0,5,0,1,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,4,0,6,0,1,0,1,1,11,1
138,4,1,17,8,0,5,14,6,0,0,0,1,40,0,0,10,0,0,3,0,3,0,0,0,0,1,0,0,3,3,2,1,8,0,0,0,1,0,6,0,0,0,7,6,0,0,0,0,0,3,0,3,0,8,1,1,1,15,1
262,11,6,2,17,2,9,24,11,2,0,0,3,43,0,0,13,0,0,15,1,10,0,0,4,0,7,0,2,8,12,3,13,11,2,1,0,2,0,8,1,0,0,8,13,0,0,0,4,0,3,2,8,2,11,13,1,1,52,1
530,12,5,68,37,0,0,62,37,0,0,0,2,125,1,0,34,0,0,11,6,8,0,0,0,0,6,0,0,11,13,14,1,25,2,0,0,0,0,19,0,0,0,25,29,0,0,0,4,0,12,0,11,0,25,1,1,1,19,1
143,10,2,2,9,2,2,16,7,2,0,0,3,43,1,0,8,0,2,5,2,2,0,0,3,0,1,0,1,7,1,5,5,1,0,0,0,0,0,4,1,0,0,6,2,0,1,0,2,0,3,2,7,1,1,5,1,1,20,1
245,11,3,3,22,0,0,24,10,0,0,0,1,76,2,0,14,0,0,8,3,7,0,1,2,2,7,0,2,17,9,7,2,4,0,0,0,2,0,9,6,0,0,16,4,0,1,0,0,0,5,1,17,2,4,2,1,1,13,1
1197,56,22,12,126,0,8,120,77,1,2,0,6,299,7,0,92,0,0,33,19,40,1,0,3,19,37,0,3,90,21,31,7,15,3,9,0,6,0,35,28,0,0,75,44,0,1,0,6,1,36,4,90,3,15,7,1,1,15,1
147,2,0,3,12,0,13,11,18,0,0,0,0,36,1,0,16,0,0,0,2,0,0,0,0,0,2,0,0,6,2,2,4,3,0,1,0,0,0,7,0,0,0,6,8,0,0,0,0,0,2,0,6,0,3,4,1,1,18,1
47,2,0,1,3,0,0,2,5,0,0,0,0,20,0,0,3,0,0,0,0,2,0,0,1,0,1,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,1,9,1
142,3,1,9,17,0,0,21,6,0,0,0,1,42,2,0,12,0,0,2,1,5,0,0,0,0,2,0,0,7,3,2,1,3,0,1,0,0,0,2,1,0,0,7,2,0,0,0,0,0,3,0,7,0,3,1,1,1,15,1
487,19,5,26,52,0,7,58,31,1,0,0,3,130,3,0,21,0,0,13,7,7,0,0,6,6,11,0,1,48,2,3,1,3,0,4,0,6,0,14,8,0,0,31,6,0,8,0,2,0,12,1,48,1,3,1,1,0,15,1
179,7,0,28,10,0,0,18,11,0,0,0,0,36,1,0,16,0,0,1,1,4,0,0,0,0,3,0,0,14,2,1,1,2,1,2,0,0,0,6,0,0,0,7,9,0,1,0,0,0,1,0,14,0,2,1,1,1,17,1
224,12,4,7,18,0,1,20,13,0,0,0,1,61,0,0,6,0,2,13,1,8,0,0,4,0,7,0,0,8,5,4,3,6,0,1,0,1,0,6,4,0,0,8,6,0,3,0,0,2,7,0,8,0,6,3,1,1,37,1
306,23,5,11,27,0,8,43,22,1,1,0,1,89,0,0,22,0,0,2,3,10,1,0,5,1,5,0,0,17,6,4,2,3,2,0,1,1,0,2,4,0,0,14,10,0,0,0,1,0,2,3,17,0,3,2,1,1,19,1
684,42,9,27,83,0,1,83,59,3,2,0,3,146,4,0,50,0,0,15,10,29,1,0,3,5,11,0,4,43,6,12,6,11,1,4,0,0,0,18,8,0,0,38,27,0,4,0,3,0,13,6,43,4,11,6,0,1,18,1
107,10,2,0,10,0,0,12,9,0,2,0,2,44,0,0,4,0,0,5,1,1,0,0,0,0,2,0,0,3,1,1,0,4,0,0,0,0,0,2,6,0,0,10,1,0,0,0,0,0,5,2,3,0,4,0,1,1,8,1
310,19,4,18,27,0,3,38,22,1,0,0,2,82,4,0,23,0,1,5,0,4,0,0,1,1,3,0,1,16,5,10,3,7,0,1,0,2,0,8,1,0,0,15,18,0,1,0,0,0,4,1,16,1,7,3,1,1,17,1
365,14,7,16,36,0,6,58,22,0,2,0,4,78,3,0,18,0,0,12,4,10,0,0,1,3,10,0,2,16,7,9,3,9,1,2,0,2,0,9,5,0,0,22,7,0,0,0,3,1,11,2,16,2,9,3,1,1,15,1
173,8,2,4,13,0,0,27,16,0,1,0,0,47,3,0,18,0,0,5,3,2,0,0,1,0,4,0,1,9,5,1,2,3,1,0,0,0,0,1,1,0,0,9,3,0,0,0,0,0,5,1,9,1,3,2,1,1,15,1
450,30,9,4,36,0,4,50,36,1,0,0,3,120,8,0,30,0,6,10,8,10,0,0,3,2,15,0,2,20,12,14,3,10,3,2,0,0,0,7,2,0,0,25,12,0,0,0,2,0,10,1,20,2,10,3,1,1,16,1
118,5,0,7,9,0,0,10,8,0,0,0,3,39,1,0,8,0,0,3,3,1,0,0,0,1,1,0,0,4,1,1,1,6,0,0,0,0,0,4,1,1,0,7,2,0,0,0,0,1,1,0,4,0,6,1,1,1,11,1
343,16,9,23,26,0,2,34,25,0,1,0,1,94,8,0,14,1,7,2,5,7,0,2,0,0,7,1,2,22,6,11,1,4,2,1,0,0,0,7,0,0,1,21,9,0,0,0,1,1,5,3,22,2,4,1,1,1,13,1
152,14,0,3,15,0,4,16,5,0,0,0,3,45,0,0,3,1,2,4,2,5,0,0,0,0,3,0,2,8,3,0,4,4,2,0,0,0,0,4,0,0,0,6,5,0,2,0,0,0,4,0,8,2,4,4,1,1,21,1
744,34,14,17,49,5,11,67,35,2,1,0,15,115,2,0,33,2,12,48,10,50,0,1,4,0,17,0,7,32,21,10,16,27,1,5,0,7,0,24,0,1,0,35,35,0,0,0,2,8,26,4,32,7,27,16,1,1,31,1
188,14,3,7,18,0,8,19,24,0,0,0,1,45,0,0,18,0,0,7,3,2,0,0,0,0,4,0,1,15,0,3,0,0,0,0,0,1,0,3,0,0,0,9,2,0,0,0,0,0,6,0,15,1,0,0,1,1,17,1
242,14,2,10,19,0,0,32,11,1,1,0,2,74,0,0,18,0,0,1,3,6,0,0,2,1,7,0,1,14,9,7,3,1,1,0,0,0,0,2,0,1,0,12,8,0,2,0,0,0,4,2,14,1,1,3,1,1,15,1
941,57,15,9,91,2,7,104,65,7,1,0,10,216,3,0,51,2,0,33,29,41,2,1,2,7,23,0,2,70,16,18,12,10,7,6,0,3,0,18,15,0,0,50,40,0,2,0,1,0,49,11,70,2,10,12,1,1,18,1
624,38,18,5,48,0,14,75,49,2,0,0,8,129,7,0,28,1,1,29,10,22,1,1,1,1,14,0,7,26,11,13,17,13,2,5,0,3,0,9,1,2,0,38,24,0,0,0,9,3,16,4,26,7,13,17,1,1,20,1
474,34,10,8,33,0,9,44,39,1,1,0,5,78,5,0,14,1,1,26,7,28,2,0,1,0,15,0,6,10,7,16,24,9,4,2,0,5,0,13,1,1,0,21,22,0,2,0,15,0,13,4,10,6,9,24,1,1,33,1
201,13,5,4,18,0,0,25,14,1,0,0,1,66,1,0,15,1,0,1,4,5,0,0,0,1,2,0,3,13,5,6,2,0,0,0,0,0,0,2,3,0,1,10,7,0,0,0,1,1,3,1,13,3,0,2,1,1,15,1
211,9,7,9,18,1,7,33,18,2,0,0,0,59,2,0,13,0,0,1,0,7,0,0,0,0,2,0,1,7,5,4,4,0,1,2,0,0,0,3,0,0,1,6,8,0,0,0,0,0,1,2,7,1,0,4,1,1,23,1
360,22,2,7,41,0,2,45,27,0,0,0,4,77,2,0,23,0,3,6,4,17,0,0,0,0,13,0,1,16,7,10,3,5,5,1,0,0,0,7,0,0,0,13,14,0,0,0,0,0,9,0,16,1,5,3,1,1,25,1
749,50,19,45,67,0,14,81,51,1,4,0,3,148,8,0,51,0,0,26,13,35,2,0,7,8,8,0,8,44,23,9,14,13,2,1,0,4,0,29,15,0,0,53,17,0,5,0,15,1,19,7,44,8,13,14,1,1,14,1
88,5,0,7,10,0,0,13,6,1,0,0,0,34,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,3,0,0,2,1,1,17,1
648,39,8,40,68,0,11,64,55,0,0,0,4,111,3,0,51,0,0,21,6,25,3,0,6,9,16,0,1,48,7,4,5,10,3,4,0,1,0,14,11,0,0,41,21,0,0,0,2,1,16,3,48,1,10,5,1,1,14,1
140,5,1,19,11,0,0,17,7,1,0,0,0,36,0,0,19,0,0,0,2,2,0,0,0,0,1,0,1,11,0,2,0,0,1,0,0,0,0,3,0,0,0,10,3,0,0,0,0,0,1,1,11,1,0,0,1,1,11,1
284,12,5,14,28,0,8,39,23,0,1,0,0,87,3,0,19,0,0,3,3,3,0,0,1,0,4,0,0,11,4,3,1,5,0,1,0,0,0,9,2,0,0,13,10,0,0,0,0,0,5,1,11,0,5,1,1,1,18,1
514,32,8,10,47,0,5,58,51,1,0,0,3,119,4,0,36,1,0,11,7,13,0,0,4,6,17,1,2,23,13,9,3,10,1,2,0,3,0,11,12,0,0,24,28,1,0,0,3,0,6,1,23,2,10,3,1,1,19,1
732,32,13,43,59,0,22,66,59,1,2,0,3,166,10,0,34,1,0,27,10,22,2,0,4,8,15,0,6,65,11,4,2,3,0,3,0,1,0,25,17,0,0,46,31,0,3,0,1,0,29,5,65,6,3,2,1,1,15,1
225,11,4,6,25,0,9,29,21,0,1,0,1,68,2,0,14,0,0,2,4,6,0,0,2,0,4,0,0,3,5,3,2,7,0,0,0,0,0,3,0,0,0,11,4,0,0,0,0,0,6,1,3,0,7,2,0,1,17,1
953,33,12,12,83,0,2,103,76,0,1,0,16,230,6,0,91,0,0,20,17,32,2,0,1,5,19,0,5,47,14,30,8,17,5,3,0,2,0,29,11,0,0,47,43,0,2,0,3,1,24,3,47,5,17,8,1,1,20,1
326,16,2,7,28,1,6,49,20,0,0,0,3,86,1,0,15,0,0,12,5,10,0,0,1,1,10,0,0,7,13,11,6,5,1,0,0,1,0,4,1,0,0,11,14,0,1,0,0,0,11,0,7,0,5,6,1,1,25,1
404,19,1,3,41,1,5,37,25,0,1,0,3,101,2,0,12,2,5,27,7,12,1,0,4,1,8,0,0,29,7,7,2,13,0,2,0,1,0,13,2,0,0,22,5,0,3,0,9,1,18,2,29,0,13,2,1,1,26,1
245,7,6,18,20,1,9,36,12,1,3,0,1,64,5,0,18,0,0,3,0,9,0,0,0,1,3,0,0,16,0,2,1,4,0,1,0,0,0,3,2,0,0,12,11,0,1,0,0,0,3,4,16,0,4,1,1,1,17,1
